ln_earn,female,edyears
6.6450911,1,16
5.6524892,1,13
7.377759,0,12
6.7627296,0,16
6.5510802,1,16
5.2417469,0,5.5
6.3969297,0,12
7.4781699,0,19
5.1929569,1,12
6.3969297,0,12
6.64539,0,12
6.2344108,1,16
6.6846118,1,13
6.4614682,0,12
7.4564548,1,18
6.9641356,0,16
5.5114107,1,12
6.9611063,1,16
7.3132205,0,16
6.363028,0,9
6.6846118,0,16
5.9914646,0,12
5.8861041,1,16
5.570251,1,14
7.9672804,0,16
7.967145,0,14
7.410347,0,14
7.0836396,0,16
7.2048926,0,16
7.1459846,1,16
7.0900769,1,18
6.2146082,0,12
7.3524413,0,13
6.2878585,1,14
5.4293456,1,12
6.779922,0,16
6.5510802,1,14
6.0637851,1,12
6.3801227,1,9
6.5395861,1,14
6.9077554,0,12
4.9698133,1,13
5.0594254,1,12
6.6045671,1,16
6.7661915,1,13
6.9173193,0,18
7.0475173,1,13
6.1944056,0,13
6.253829,1,12
6.8679743,1,12
7.0501227,1,16
6.2915692,0,12
6.7393365,0,12
5.5606818,1,16
6.6846118,0,12
7.130899,1,18
6.9331307,0,16
4.7482309,1,12
5.0106354,0,12
7.7861366,0,13
6.1737862,1,12
7.9672804,0,18
6.5792513,1,16
5.1929569,0,10
7.2737865,1,18
7.2048926,0,18
7.967145,0,16
6.1345472,1,13
6.9847164,1,16
7.2298388,0,12
7.3385372,1,18
6.1853852,0,12
7.7097569,1,16
7.456316,0,12
5.6167712,1,12
6.868526,1,16
6.3707566,1,14
5.8861041,1,12
7.6568103,0,16
7.8391318,1,16
6.3561077,0,12
6.3969297,1,16
4.8751974,1,13
6.0354815,1,11
6.3969297,1,16
6.6463904,1,12
6.7631688,1,16
7.2331738,0,12
5.0625949,0,14
5.6629605,1,12
6.09131,1,12
6.3969297,0,14
6.4707994,0,5.5
7.6591716,0,12
5.7990928,0,12
7.3601041,0,12
6.6450911,1,12
6.4504704,0,14
6.8023949,0,16
4.4659081,1,13
7.1532001,0,16
7.1388669,1,16
5.7838254,1,16
7.9672804,1,18
6.7056389,1,13
6.0475378,1,12
6.694562,0,18
6.3969297,1,16
7.5616417,1,19
6.6320019,1,12
7.9672804,0,13
6.3279366,1,16
7.0509896,0,13
5.7037826,0,16
6.0041833,1,13
7.3385372,1,16
5.2983174,1,13
6.6034017,0,13
6.0473723,0,18
7.0508509,1,18
7.2737865,1,16
7.6009026,0,16
5.857933,1,13
6.5930448,0,14
6.5792513,0,12
6.253829,1,13
5.9269261,1,12
4.6539602,0,13
6.0609908,1,12
6.8057227,1,18
6.6933236,0,12
5.0106354,1,13
7.7437034,0,20
7.377759,0,16
7.967145,0,14
4.4773369,1,16
5.817111,1,18
7.3385372,0,12
7.2868762,1,13
7.967145,0,16
5.1298985,1,7.5
6.5220928,0,12
7.0509896,0,12
5.9597158,1,12
5.9914646,1,16
5.9348941,0,12
7.3132205,1,16
7.2048926,0,12
7.1467724,0,12
6.5510802,0,14
6.0520892,1,13
7.5895886,1,16
3.7841897,1,12
6.2633982,1,13
6.3969297,1,14
6.3099184,0,14
7.0900769,0,13
6.8997231,0,13
7.0509896,0,12
7.2191882,1,13
6.5072775,0,14
7.967145,1,18
6.0402546,1,12
7.4909368,0,16
6.921658,1,13
6.8669333,0,16
6.694562,0,16
5.9914646,1,16
5.5451775,1,13
6.7569323,0,13
6.5510802,1,14
7.456316,1,18
7.1461658,0,12
5.2574954,0,13
5.7037826,0,12
6.906755,1,14
6.2146082,1,12
6.9077554,1,16
5.1647859,1,12
4.2195077,1,11
5.7838254,1,14
5.9914646,0,12
7.3031702,0,12
6.6846118,0,12
6.6333184,0,5.5
7.4564548,1,13
6.6450911,0,16
6.2383246,0,16
7.5496092,0,14
6.5117455,0,12
7.3632798,0,18
6.7844572,1,13
5.5984221,1,9
6.2878585,0,12
6.3456364,1,13
7.8980398,0,16
5.2983174,1,11
6.7334018,1,16
6.5666723,1,16
7.3873253,0,13
5.9401712,1,13
5.5984221,1,12
7.7686939,0,16
7.4454174,1,12
6.8679743,0,12
4.6821313,1,11
7.4564548,0,20
4.6051702,0,16
6.5126367,1,14
5.9401712,1,12
6.8183775,0,12
6.6025877,1,18
7.3382382,0,16
6.1355648,1,16
6.3969297,0,11
6.9077554,0,16
7.4292893,0,12
7.3632798,1,16
6.5930448,1,12
6.9077554,0,14
6.1737862,0,12
7.2737865,0,20
6.6200733,0,12
6.8793559,1,16
7.967145,0,16
7.0169506,1,16
7.0501227,0,12
6.3801227,1,13
6.9077554,0,16
6.669498,0,16
6.568078,0,12
7.9672804,0,20
6.5792513,1,14
7.4383836,1,16
6.1092477,0,12
6.3969297,0,12
6.9027429,1,13
7.0509896,1,12
7.6569896,1,18
6.7334018,1,12
